extractor,model,epochs,batch_size,pooling,normalization,accuracy,f1_macro
baseline_CASIAB.csv,MLP,500,32,mean,minmax,0.3908,0.33288
baseline_CASIAB.csv,MLP,500,32,mean,L2,0.43678,0.38758
baseline_CASIAB.csv,MLP,500,32,max,minmax,0.52874,0.44195
baseline_CASIAB.csv,MLP,500,32,max,L2,0.48276,0.41826
baseline_OUMVLP.csv,MLP,500,32,mean,minmax,0.56322,0.49466
baseline_OUMVLP.csv,MLP,500,32,mean,L2,0.48276,0.38338
baseline_OUMVLP.csv,MLP,500,32,max,minmax,0.49425,0.38802
baseline_OUMVLP.csv,MLP,500,32,max,L2,0.48276,0.38992
gaitgl.csv,MLP,500,32,mean,minmax,0.4023,0.34794
gaitgl.csv,MLP,500,32,mean,L2,0.48276,0.45443
gaitgl.csv,MLP,500,32,max,minmax,0.42529,0.38058
gaitgl.csv,MLP,500,32,max,L2,0.37931,0.37556
gaitgl_GREW.csv,MLP,500,32,mean,minmax,0.50575,0.40569
gaitgl_GREW.csv,MLP,500,32,mean,L2,0.50575,0.41852
gaitgl_GREW.csv,MLP,500,32,max,minmax,0.37931,0.30185
gaitgl_GREW.csv,MLP,500,32,max,L2,0.41379,0.313
gaitgl_GREW_BNNeck.csv,MLP,500,32,mean,minmax,0.48276,0.41928
gaitgl_GREW_BNNeck.csv,MLP,500,32,mean,L2,0.44828,0.39678
gaitgl_GREW_BNNeck.csv,MLP,500,32,max,minmax,0.47126,0.41562
gaitgl_GREW_BNNeck.csv,MLP,500,32,max,L2,0.42529,0.35143
gaitgl_OUMVLP.csv,MLP,500,32,mean,minmax,0.51724,0.50204
gaitgl_OUMVLP.csv,MLP,500,32,mean,L2,0.45977,0.40997
gaitgl_OUMVLP.csv,MLP,500,32,max,minmax,0.50575,0.46101
gaitgl_OUMVLP.csv,MLP,500,32,max,L2,0.45977,0.38809
gaitpart.csv,MLP,500,32,mean,minmax,0.36364,0.24074
gaitpart.csv,MLP,500,32,mean,L2,0.27273,0.18788
gaitpart.csv,MLP,500,32,max,minmax,0.54545,0.35165
gaitpart.csv,MLP,500,32,max,L2,0.45455,0.28571
gaitpart_GREW.csv,MLP,500,32,mean,minmax,0.51724,0.42254
gaitpart_GREW.csv,MLP,500,32,mean,L2,0.49425,0.41286
gaitpart_GREW.csv,MLP,500,32,max,minmax,0.41379,0.29854
gaitpart_GREW.csv,MLP,500,32,max,L2,0.45977,0.39638
gaitpart_OUMVLP.csv,MLP,500,32,mean,minmax,0.6092,0.52367
gaitpart_OUMVLP.csv,MLP,500,32,mean,L2,0.50575,0.46371
gaitpart_OUMVLP.csv,MLP,500,32,max,minmax,0.51724,0.36869
gaitpart_OUMVLP.csv,MLP,500,32,max,L2,0.47126,0.40235
gaitset.csv,MLP,500,32,mean,minmax,0.41379,0.35299
gaitset.csv,MLP,500,32,mean,L2,0.3908,0.35046
gaitset.csv,MLP,500,32,max,minmax,0.4023,0.30928
gaitset.csv,MLP,500,32,max,L2,0.4023,0.34048
gaitset_GREW.csv,MLP,500,32,mean,minmax,0.44828,0.34697
gaitset_GREW.csv,MLP,500,32,mean,L2,0.48276,0.40025
gaitset_GREW.csv,MLP,500,32,max,minmax,0.48276,0.40902
gaitset_GREW.csv,MLP,500,32,max,L2,0.44828,0.38521
gaitset_OUMVLP.csv,MLP,500,32,mean,minmax,0.52874,0.43972
gaitset_OUMVLP.csv,MLP,500,32,mean,L2,0.50575,0.45687
gaitset_OUMVLP.csv,MLP,500,32,max,minmax,0.48276,0.37928
gaitset_OUMVLP.csv,MLP,500,32,max,L2,0.50575,0.39109
gln_phase1.csv,MLP,500,32,mean,minmax,0.50575,0.4
gln_phase1.csv,MLP,500,32,mean,L2,0.57471,0.45354
gln_phase1.csv,MLP,500,32,max,minmax,0.51724,0.40994
gln_phase1.csv,MLP,500,32,max,L2,0.47126,0.36713
gln_phase2.csv,MLP,500,32,mean,minmax,0.49425,0.41367
gln_phase2.csv,MLP,500,32,mean,L2,0.47126,0.37806
gln_phase2.csv,MLP,500,32,max,minmax,0.55172,0.39517
gln_phase2.csv,MLP,500,32,max,L2,0.54023,0.45626
