hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,source_params
"[768, 384, 192]",mean,minmax,128,3,768,silu,0.25,Adam,,0.0003,1e-05,True,0.9,"[1, 2, 3]","[2]",mlp_concat_light_1
"[512, 256, 128]",mean,L2,128,3,512,gelu,0.3,AdamW,,0.0002,1e-05,False,,"[1, 3]","[2, 3]",mlp_concat_light_2
"[896, 512]",mean,minmax,160,2,896,relu,0.2,Adam,,0.0005,1e-06,True,0.85,"[1, 2]","[2]",mlp_concat_light_3
"[640, 320, 160]",mean,L2,128,3,640,elu,0.25,AdamW,,0.0003,5e-06,False,,"[1, 3]","[2]",mlp_concat_light_4
"[1024, 512, 256]",mean,minmax,96,3,1024,silu,0.35,Adam,,0.0001,1e-05,True,0.9,"[2]","[1, 3]",mlp_concat_light_5
"[512, 256]",mean,L2,160,2,512,gelu,0.3,RMSprop,,0.0003,0.0,True,0.8,"[1, 2]","[1]",mlp_concat_light_6
"[640, 256]",max,minmax,128,2,640,relu,0.3,AdamW,,0.0005,1e-05,False,,"[1, 2]","[2]",mlp_concat_light_7
"[768, 384, 128]",mean,L2,128,3,768,leakyrelu,0.2,Adam,,0.0005,1e-06,True,0.85,"[1, 2, 3]","[2]",mlp_concat_light_8
"[896, 448, 224, 112]",mean,minmax,96,4,896,silu,0.3,AdamW,,0.0002,1e-05,True,0.9,"[2, 3, 4]","[3, 4]",mlp_concat_light_9
"[512, 384, 192]",mean,L2,160,3,512,elu,0.25,Adam,,0.0003,1e-05,True,0.9,"[1, 3]","[2, 3]",mlp_concat_light_10
