extractor,model,epochs,batch_size,pooling,normalization,accuracy,f1_macro
baseline_CASIAB.csv,MLP,1000,64,mean,minmax,0.45977,0.39304
baseline_CASIAB.csv,MLP,1000,64,mean,L2,0.50575,0.43321
baseline_CASIAB.csv,MLP,1000,64,max,minmax,0.49425,0.42597
baseline_CASIAB.csv,MLP,1000,64,max,L2,0.44828,0.36706
baseline_OUMVLP.csv,MLP,1000,64,mean,minmax,0.54023,0.45237
baseline_OUMVLP.csv,MLP,1000,64,mean,L2,0.52874,0.44682
baseline_OUMVLP.csv,MLP,1000,64,max,minmax,0.37931,0.32218
baseline_OUMVLP.csv,MLP,1000,64,max,L2,0.37931,0.28459
gaitgl.csv,MLP,1000,64,mean,minmax,0.44828,0.3813
gaitgl.csv,MLP,1000,64,mean,L2,0.47126,0.39755
gaitgl.csv,MLP,1000,64,max,minmax,0.47126,0.44303
gaitgl.csv,MLP,1000,64,max,L2,0.51724,0.4749
gaitgl_GREW.csv,MLP,1000,64,mean,minmax,0.45977,0.41771
gaitgl_GREW.csv,MLP,1000,64,mean,L2,0.45977,0.38972
gaitgl_GREW.csv,MLP,1000,64,max,minmax,0.41379,0.34835
gaitgl_GREW.csv,MLP,1000,64,max,L2,0.43678,0.38495
gaitgl_GREW_BNNeck.csv,MLP,1000,64,mean,minmax,0.34483,0.26581
gaitgl_GREW_BNNeck.csv,MLP,1000,64,mean,L2,0.34483,0.2608
gaitgl_GREW_BNNeck.csv,MLP,1000,64,max,minmax,0.50575,0.40365
gaitgl_GREW_BNNeck.csv,MLP,1000,64,max,L2,0.47126,0.38099
gaitgl_OUMVLP.csv,MLP,1000,64,mean,minmax,0.47126,0.41875
gaitgl_OUMVLP.csv,MLP,1000,64,mean,L2,0.45977,0.42858
gaitgl_OUMVLP.csv,MLP,1000,64,max,minmax,0.44828,0.37031
gaitgl_OUMVLP.csv,MLP,1000,64,max,L2,0.48276,0.35264
gaitpart.csv,MLP,1000,64,mean,minmax,0.27273,0.18788
gaitpart.csv,MLP,1000,64,mean,L2,0.27273,0.18788
gaitpart.csv,MLP,1000,64,max,minmax,0.45455,0.28571
gaitpart.csv,MLP,1000,64,max,L2,0.36364,0.23718
gaitpart_GREW.csv,MLP,1000,64,mean,minmax,0.42529,0.3753
gaitpart_GREW.csv,MLP,1000,64,mean,L2,0.47126,0.41147
gaitpart_GREW.csv,MLP,1000,64,max,minmax,0.3908,0.33121
gaitpart_GREW.csv,MLP,1000,64,max,L2,0.4023,0.35549
gaitpart_OUMVLP.csv,MLP,1000,64,mean,minmax,0.50575,0.3925
gaitpart_OUMVLP.csv,MLP,1000,64,mean,L2,0.44828,0.35217
gaitpart_OUMVLP.csv,MLP,1000,64,max,minmax,0.52874,0.42222
gaitpart_OUMVLP.csv,MLP,1000,64,max,L2,0.42529,0.35554
gaitset.csv,MLP,1000,64,mean,minmax,0.45977,0.36481
gaitset.csv,MLP,1000,64,mean,L2,0.48276,0.40381
gaitset.csv,MLP,1000,64,max,minmax,0.42529,0.36201
gaitset.csv,MLP,1000,64,max,L2,0.43678,0.38316
gaitset_GREW.csv,MLP,1000,64,mean,minmax,0.45977,0.33903
gaitset_GREW.csv,MLP,1000,64,mean,L2,0.3908,0.30815
gaitset_GREW.csv,MLP,1000,64,max,minmax,0.35632,0.2721
gaitset_GREW.csv,MLP,1000,64,max,L2,0.3908,0.294
gaitset_OUMVLP.csv,MLP,1000,64,mean,minmax,0.35632,0.28238
gaitset_OUMVLP.csv,MLP,1000,64,mean,L2,0.36782,0.32719
gaitset_OUMVLP.csv,MLP,1000,64,max,minmax,0.48276,0.34854
gaitset_OUMVLP.csv,MLP,1000,64,max,L2,0.47126,0.33757
gln_phase1.csv,MLP,1000,64,mean,minmax,0.48276,0.38572
gln_phase1.csv,MLP,1000,64,mean,L2,0.48276,0.38338
gln_phase1.csv,MLP,1000,64,max,minmax,0.48276,0.38909
gln_phase1.csv,MLP,1000,64,max,L2,0.51724,0.39872
gln_phase2.csv,MLP,1000,64,mean,minmax,0.41379,0.35541
gln_phase2.csv,MLP,1000,64,mean,L2,0.43678,0.39033
gln_phase2.csv,MLP,1000,64,max,minmax,0.50575,0.41569
gln_phase2.csv,MLP,1000,64,max,L2,0.45977,0.38544
