extractor,model,normalization,accuracy,f1_macro
baseline_CASIAB.csv,LSTM,l2,0.45977011494252873,0.3854381157751945
baseline_OUMVLP.csv,LSTM,l2,0.45977011494252873,0.3333333333333333
gaitgl.csv,LSTM,l2,0.4827586206896552,0.43659621802002224
gaitgl_GREW.csv,LSTM,l2,0.42528735632183906,0.3667305676967512
gaitgl_GREW_BNNeck.csv,LSTM,l2,0.42528735632183906,0.3619700566383475
gaitgl_OUMVLP.csv,LSTM,l2,0.4942528735632184,0.3846743295019157
gaitpart.csv,LSTM,l2,0.5454545454545454,0.39999999999999997
gaitpart_GREW.csv,LSTM,l2,0.5747126436781609,0.5523563811489508
gaitpart_OUMVLP.csv,LSTM,l2,0.4942528735632184,0.3596304193319118
gaitset.csv,LSTM,l2,0.4367816091954023,0.39014155161508435
gaitset_GREW.csv,LSTM,l2,0.42528735632183906,0.36419753086419754
gaitset_OUMVLP.csv,LSTM,l2,0.47126436781609193,0.3695767195767196
gln_phase1.csv,LSTM,l2,0.4367816091954023,0.365339284593943
gln_phase2.csv,LSTM,l2,0.5057471264367817,0.44409171075837744
